X,Y,objectid,identifian,nom,adresse,insee,nomcom,dep,multiplex,art_essai,ecrans,cinema_seats,rd,jp,pr,situtheatr
2.489461935228661,48.83827770080233,246,291891,ROYAL PALACE,165 GRANDE RUE CHARLES DE GAULLE,94052,Nogent-sur-Marne,94,0,1,6,815,0,1,0,0
2.099009619483135,49.04921516421858,247,320532,ROYAL UTOPIA,14 RUE ALEXANDRE PRACHAY,95500,Pontoise,95,0,1,1,272,0,1,0,0
2.215031119759398,48.824710776871775,248,362414,S E L (SEVRES ESPACE LOISIRS),47 GRANDE RUE,92072,Sèvres,92,0,1,1,380,0,0,0,1
2.342106159614267,48.853334602479173,249,751,SAINT ANDRE  DES ARTS,30 RUE SAINT ANDRE DES ARTS,75106,Paris 6e  Arrondissement,75,0,1,3,510,1,0,0,0
2.323853190931118,48.87489094377932,250,2991,SAINT LAZARE PASQUIER,44 RUE PASQUIER,75108,Paris 8e  Arrondissement,75,0,0,3,331,0,0,0,0
2.320914769897622,48.637092863989494,251,406812,CINEMA CARNE,3 PLACE MARCEL CARNE,91570,Saint-Michel-sur-Orge,91,0,1,3,496,1,1,1,1
2.480015141732092,48.901610962322394,252,61504,SALLE ANDRE MALRAUX,25 COURS DE LA REPUBLIQUE,93010,Bondy,93,0,1,1,324,0,0,0,0
2.350750095531894,48.770580645437519,253,110761,SALLE ANDRE MALRAUX,102 AVENUE DU GENERAL DE GAULLE,94021,Chevilly-Larue,94,0,1,1,405,0,0,0,1
2.408087899547226,48.745211599101168,254,298964,SALLE ARAGON,1 PLACE DU FER À CHEVAL,94054,Orly,94,0,0,1,388,0,0,0,1
2.357623926236179,48.717351032054729,255,303445,SALLE DES FETES,RUE ALSACE-LORRAINE,91479,Paray-Vieille-Poste,91,0,0,1,314,0,0,0,0
2.352639300257141,48.52597489910783,256,202370,SALLE GEORGES BRASSENS,15 PLACE JACQUES BREL,91315,Itteville,91,0,0,1,0,0,0,0,1
2.254911989300387,48.77861982609992,257,314412,SALLE GERARD PHILIPE,2 RUE ANDRE LE NOTRE,92060,Le Plessis-Robinson,92,0,1,1,190,0,1,0,0
2.189267600437994,48.698315198627711,258,299572,SALLE JACQUES TATI,14 AVENUE SAINT LAURENT,91471,Orsay,91,0,1,2,279,1,1,1,0
1.99541557736367,48.777041633490761,259,432832,LE GRENIER A SEL,PLACE DU 8 MAI 1945,78621,Trappes,78,0,1,1,218,0,1,1,0
2.381460207552767,48.951330188188081,260,368403,SALLE PAUL ELUARD,PLACE MARCEL POINTET,93072,Stains,93,0,0,1,699,0,0,0,1
2.414725682111871,48.766414145948531,261,112014,SALLE PAUL ELUARD,4 AVENUE DE VILLENEUVE SAINT GEORGES,94022,Choisy-le-Roi,94,0,1,1,181,0,1,0,1
2.467188499980497,48.818633199211789,262,204534,SALLE PIERRE ET JACQUES PREVERT,RUE DE PARIS,94042,Joinville-le-Pont,94,0,0,1,300,0,0,0,0
2.304862029249861,48.753023662112923,263,20931,LE SELECT,10 AVENUE DE LA DIVISION LECLERC,92002,Antony,92,0,1,4,665,1,1,1,0
2.332937612600472,48.854664349784152,264,891,ST GERMAIN DES PRES,22 RUE GUILLAUME APOLLINAIRE,75106,Paris 6e  Arrondissement,75,0,1,1,252,1,0,0,0
2.250128826027638,48.590674368323867,265,24753,STARS 5,13 AVENUE DU GENERAL DE GAULLE,91021,Arpajon,91,0,0,5,829,0,0,0,0
2.384994768983991,48.910498251619849,266,28264,STUDIO,2 RUE EDOUARD POISSON,93001,Aubervilliers,93,0,1,1,127,0,1,1,0
2.171812925468507,48.682411313562199,267,437561,STUDIO  DES CHAMPS LASNIERS,AVENUE DU BERRY,91692,Les Ulis,91,0,1,1,210,0,1,1,0
2.22479059877846,49.026333722418613,268,422871,STUDIO 207,207 RUE DE PARIS,95607,Taverny,95,0,0,2,328,0,0,0,0
2.335287466963534,48.886160675827831,269,3741,STUDIO 28,10 RUE THOLOZE,75118,Paris 18e  Arrondissement,75,0,1,1,172,0,0,0,0
2.508367321604878,48.814416760856986,270,97431,STUDIO 4,66 RUE JEAN JAURES,94017,Champigny-sur-Marne,94,0,0,5,944,0,0,0,0
2.340121475043062,48.854440671909146,271,883,STUDIO CHRISTINE,4 RUE CHRISTINE,75106,Paris 6e  Arrondissement,75,0,1,2,234,0,0,1,0
2.342032165836156,48.842681287403416,272,8451,STUDIO DES URSULINES,10 RUE DES URSULINES,75105,Paris 5e  Arrondissement,75,0,1,1,122,0,1,1,0
2.347059983393886,48.851604397931091,273,733,STUDIO GALANDE,42 RUE GALANDE,75105,Paris 5e  Arrondissement,75,0,1,1,97,0,0,0,0
2.529989772135646,48.883955459186481,274,172043,THEATRE ANDRE MALRAUX,1 BIS RUE GUILLEMETEAU,93032,Gagny,93,0,1,1,450,0,0,0,1
2.419501140048619,48.881910411087333,275,226883,THEATRE DU GARDE CHASSE,2 AVENUE WALDECK ROUSSEAU,93045,Les Lilas,93,0,1,1,308,0,1,0,1
2.044943876115942,48.810943067826983,276,164022,THEATRE FONTENAY,PLACE DU 8 MAI 1945,78242,Fontenay-le-Fleury,78,0,1,1,346,0,1,0,1
1.841061439944387,48.648430370822929,277,331273,THEATRE LE NICKEL,50 RUE DU MUGUET,78517,Rambouillet,78,0,0,1,234,0,0,0,1
2.471757803509704,49.032448026981228,278,181553,THEATRE SARAH BERNHARDT,82 BOULEVARD PAUL VAILLANT COUTURIER,95280,Goussainville,95,0,0,1,562,0,0,0,1
2.321846606323566,48.804074161836169,279,35953,THEATRE VICTOR HUGO,14 AVENUE VICTOR HUGO,92007,Bagneux,92,0,0,1,418,0,0,0,1
2.29234773739069,48.777721351582983,280,356871,TRIANON,3 BIS RUE MARGUERITE RENAUDIN,92071,Sceaux,92,0,1,1,270,0,1,1,0
2.011642759578496,49.048767290212965,281,92329,UGC CINE CITE,8 PLACE DES 3 GARES,95127,Cergy,95,1,0,14,2768,0,0,0,0
2.566627733224215,48.835819276425035,282,292374,UGC CINE CITE,CENTRE COMMERCIAL ARCADES MONT D'EST,93051,Noisy-le-Grand,93,1,0,10,1797,0,0,0,0
2.454743296077562,48.787397324025513,283,720300,UGC CINE CITE,CENTRE COMMERCIAL CRETEIL SOLEIL,94028,Créteil,94,1,0,12,2858,0,0,0,0
2.385548959860319,48.832428173563443,284,6611,UGC CINE CITE BERCY,2 COUR SAINT-EMILION,75112,Paris 12e  Arrondissement,75,1,0,18,4440,0,0,0,0
2.242109102880036,48.880867699466371,285,327945,UGC CINE CITE LA DEFENSE,CENTRE COMMERCIAL 4 TEMPS PARIS DEFENSE,92062,Puteaux,92,1,0,16,3642,0,0,0,0
2.343622415320457,48.862557805628924,286,1681,UGC CINE CITE LES HALLES,FORUM DES HALLES - PLACE DE LA ROTONDE,75101,Paris 1er Arrondissement,75,1,0,27,3894,0,0,0,0
2.480407600642579,48.880662198902719,287,343750,UGC CINE CITE ROSNY,16 RUE CONRAD ADENAUER,93064,Rosny-sous-Bois,93,1,0,15,3324,0,0,0,0
2.041038899595585,48.783987198932316,288,720400,UGC CINE CITE SQY OUEST,1 AVENUE DE LA SOURCE DE LA BIEVRE,78423,Montigny-le-Bretonneux,78,1,0,16,3612,0,0,0,0
2.339096881437456,48.852110474686036,289,8331,UGC DANTON,99 BOULEVARD SAINT GERMAIN,75106,Paris 6e  Arrondissement,75,0,0,4,684,0,0,0,0
2.354505509893594,48.832967736223289,290,8632,UGC GOBELINS,66 BIS AVENUE DES GOBELINS,75113,Paris 13e  Arrondissement,75,0,0,7,1148,0,0,0,0
2.171699947630134,48.676937914671129,291,437562,UGC LES ULIS,CENTRE COMMERCIAL LES ULIS 2,91692,Les Ulis,91,0,0,4,600,0,0,0,0
2.371675719070771,48.847465158838126,292,6531,UGC LYON BASTILLE,12 RUE DE LYON,75112,Paris 12e  Arrondissement,75,0,0,7,1274,0,0,0,0
2.308522476506247,48.889121760805416,293,612,UGC MAILLOT,PALAIS DES CONGRES - PLACE PORTE MAILLOT,75117,Paris 17e  Arrondissement,75,0,0,4,764,0,0,0,0
2.325888821298669,48.843462811376604,294,451,UGC MONTPARNASSE,83 BOULEVARD DU MONTPARNASSE,75106,Paris 6e  Arrondissement,75,0,0,7,1592,0,0,0,0
2.300500794330911,48.872034451747055,295,31,UGC NORMANDIE,116 BIS AVENUE DES CHAMPS ELYSEES,75108,Paris 8e  Arrondissement,75,0,0,4,1610,0,0,0,0
2.339815768463961,48.8523590276912,296,8353,UGC ODEON,124 BOULEVARD SAINT GERMAIN,75106,Paris 6e  Arrondissement,75,0,0,4,645,0,0,0,0
2.335099846045974,48.87132403936392,297,204,UGC OPERA,32 BOULEVARD DES ITALIENS,75109,Paris 9e  Arrondissement,75,0,0,4,760,0,0,0,0
2.328926099561206,48.842458798907671,298,802,UGC ROTONDE,103 BOULEVARD DU MONTPARNASSE,75106,Paris 6e  Arrondissement,75,0,0,3,454,0,0,0,0
2.198340716111092,48.787146142794263,299,445702,UGC VELIZY,CENTRE COMMERCIAL,78640,Vélizy-Villacoublay,78,0,0,7,962,0,0,0,0
2.107040281748222,49.044584802534757,300,408323,UTOPIA,1 PLACE MENDES-FRANCE,95572,Saint-Ouen-l'Aumône,95,0,1,5,513,1,1,1,0
2.655064876669294,48.53333510299084,301,255991,VARIETES,20 BOULEVARD CHAMBLAIN,77288,Melun,77,0,0,3,566,0,0,0,0
2.43433144544206,48.845005102552186,302,462321,VINCENNES,30 AVENUE DE PARIS,94080,Vincennes,94,0,1,4,481,1,1,1,0
1.823077801511381,48.644539718036725,303,331271,VOX ODEON,71 RUE DU GENERAL DE GAULLE,78517,Rambouillet,78,0,1,2,320,0,0,0,0
2.354150788200851,48.833518166586501,304,8621,LES FAUVETTES,58 AVENUE DES GOBELINS,75113,Paris 13e  Arrondissement,75,0,0,5,645,0,0,0,0
2.27796009642428,48.992613934230398,305,144262,L'ORANGE BLEUE,7 RUE JEAN MERMOZ,95203,Eaubonne,95,0,0,1,345,0,0,0,1
2.716941229965499,48.400432064920835,306,162853,CINEPARADIS,10 AVENUE DU MARECHAL DE VILLARS,77186,Fontainebleau,77,0,0,6,1080,0,0,0,0
2.295955265796265,48.891457072489771,307,224413,PATHE LEVALLOIS,28 RUE D'ALSACE - CC SO OUEST,92044,Levallois-Perret,92,1,0,8,1538,0,0,0,0
